neutrale,471685156584292353,@beppe_grillo intanto .. Piangi tu ... Per adesso io rido !!!!!
neutrale,471685164167204864,@PaoloParentela (#M5S) : “Le nostre proposte sulla moria delle api” http://t.co/HnkHfGgrtS via @ItaliaInCrisi
neutrale,471685165409132544,RT @GiuliaDiVita: Slot e riciclaggio: così Renzi rende "non punibile" il reato http://t.co/SqKmobYbD0 #M5S via @M5Smontecitorio @senato5ste…
negativo,471685165635629056,RT @Kotiomkin: Incontro in volo tra Grillo e Salvini. Poi uno pranza con Farange e l'altro con Le Pen, mentre Renzi vede la Merkel. Che pal…
neutrale,471685165639827457,@fattoquotidiano ma i grillini eletti che fanno ? Grillo fa e disfa e loro prendono solo lo stipendio a fine mese ??
positivo,471685170698149888,RT @carlucci_cc: @valy_s renzie si preoccupa di chi gli garantisce voti...ma stanno scoprendo il prezzo di quei fottutissimi #80euro dagli …
negativo,471685172820443136,. @wavebass ecco quello giusto http://t.co/I6Q1Ij2AKU
neutrale,471685174426886144,Di #elezioni, di venditori di fumo e di altre schifezze... http://t.co/euFbtP7hQ1 … #Europee2014 via @ClashCityWorker
negativo,471685178570846208,Curzio Maltese #Tsipras: Dal minuto 1:04 "il nostro obiettivo è quello di allearci con il PD e con il PSE" ma davvero?http://t.co/usrcI7loY3
positivo,471685180873539584,@PaolaTavernaM5S Grazie x quello ke avete fatto e farete ancora ! By iscritto 5S
neutrale,471996242055409664,Selezionare un #EsploratoreModerno (tipo uno dei ruoli più belli al mondo) è in realtà un lavoro durissimo! @ExpediaIT
neutrale,471996244102225921,RT @Mov5Stelle: Cosa diranno adesso? Abbiamo fatto questa proposta al governo e a Matteo Renzie: http://t.co/cmt1fS3WUc http://t.co/i51XEu…
neutrale,471996244957855744,RT @LaCastelliM5s: E dopo l'evasione fiscale delle slot, il Governo propone che le macchinette non eroghino più contante per le... http://t…
neutrale,471996246950170624,Su http://t.co/8iRFJLPhca #Blog sul #Lavoro, parliamo di:"High #Tech: Creare #Occupazione" http://t.co/hdRquKmXuQ #jobs
neutrale,471996247357026304,Sono stufo di essere snobbato perché di dx. Lo sono orgogliosamente!! #forzaitalia riparta da questo orgoglio, non dal culto della divinità!
negativo,471996248883744768,Un grande difetto del #M5S e di #Grillo è stato quello di essere troppo timidi nei confronti dell'#UE e dell'#Euro ...
neutrale,471996252956393472,Oggi 10 anni del progetto Arvore da vida a Belo Horizonte, partnership #fondazioneavsi, #fiat e Unione europea, da 10 anni #cambiaverso
positivo,471996254055317504,RT @M5SMontecitorio: Stiamo votando il T. U. divorzio breve, voteremo a favore, a dimostrazione che non siamo qui solo per dire NO http://t…
neutrale,471996256265719808,nulla di inusitato, si sapeva dove fosse il grillo collocato.
negativo,471996262406172672,RT @ItalianPolitics: Di Battista (#M5S): ”La stragrande maggioranza degli organi di stampa italiani sono asserviti come nell’Argentina di V…
positivo,471996264532697088,@__AinnoaG25 Pd: te adoro
positivo,471996266126516224,RT @AnnaMarcialis2: @SteGiannini @RobertoReggi  SE c'è VOLONTA' di rimediare errore #Quota96Scuola la copertura si trova. Liberi 4000 posti…
neutrale,471996267787067392,Tutto Renzi - TRIO MEDUSA http://t.co/iv3hK23ziL via @radiodeejay
neutrale,468425278667386880,RT @welikechopin: [Video] promo #gazebo. Lunedì 26 maggio speciale elezioni europee dalle 23 su @raitre  http://t.co/bXNMl7AbHg'
neutrale,468425281842446336,@MrTotaman Io spero solo che quelli che seguono Grillo (candidati) non siano dei \"voltafaccia\", per il resto,+parlano male,+si fan danno.'
negativo,468425283369205760,RT @Eco_Magazin: La storiaccia brutta del revamping a #Monselice #lasciatecirespirare Un articolo di Beatrice Andreose http://t.co/IKQSWTkK…'
