notItalian,last night i celebrate my love for you *plaakk :P
notItalian,@will_sharpe @dbarnes27 need to get one, so I can whip on that ass in black ops ;)
notItalian,D'bilang mirip JANI » FAHRANI ma tmn2 PBL,, malah sekarang d'panggil jani hahaHaaa :D *purapuramalu*
notItalian,I want some earrings nd a portable charger :( I wish #oneofmyfollowers would of brought it lol.
notItalian,Cheguei agora do #DeMolay... Hoje o dia foi longo! ;D
notItalian,I'm free... :)
notItalian,Nitro se ve decente :D
notItalian,@SCREAMretroxD aha then that's a good thing ^_^
notItalian,aaah boong kaliii,sepik aja bisanya lu nyet -_-
notItalian,@emannaoj LOL, cup noodle faster right, i cant even eat stuff with milk = =
notItalian,la tarea de historia universal esta papisima para una stalker profesional like me ... =) viva yooooo!!
notItalian,@blingandbones nope, I did too! :)
notItalian,I'm loving the TwitPic Uploader #iPhone app. Check it out ~&gt; http://bit.ly/twitpicapp &lt;~ fun tweeting pics! :)
notItalian,Susu kacang :)
notItalian,Oiii @fitrirachma @grezzkath n @gigitgita ak abis liat video dance kita pas ssaw! #cool ;D
notItalian,Cek DM @dianyustiarini :)
notItalian,matte e pringles = mais que vida
notItalian,time to take off for a nice sleep..... :)
notItalian,good night
notItalian,@ViperEyedChica Come wi talk bout d 1 dem whe know u from u ina pampaz n nappy. -_-
notItalian,11:5O p.m. :| GOOD NIGHT ERRRRBAWDAYYY ! &lt;3
notItalian,nossa amanhã eu vou ter que acordar às 7:30 pra me arrumar compra uma coisa pra cumê, e ir pra caxias do sule iasuhdaisdh :/
notItalian,Listening Kiss the rain by YIRUMA ;)
notItalian,@ShannonTeale i miss you too :(
notItalian,Kecak.. Uuuuoooo :D http://plixi.com/p/80309405
notItalian,ke mall yukkk :) mareee...
notItalian,Mushroom pizza night!! :D
notItalian,Ma boi :)
notItalian,@Waaniieee HAHAHAHA. I guess we're in the same boat now. Happy looking :D
notItalian,@xprincesorrowx hahaha. how.did.u.guess?!?! :) lol
